"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"1";"WERKZEUGMASCHINE MIT EINER AUSGLEICHSKAMMER UND VERFAHREN ZUM AUSGLEICHEN VON ZUSTANDSÄNDERUNGEN DER ATMOSPHÄRE IM ARBEITSRAUM EINER WERKZEUGMASCHINE";"BRAND MATTHIAS [DE] 
KÜHNELT MARKUS [DE] 
STORCH STEPHAN [DE]";"DMG MORI SEEBACH GMBH [DE]";"WO2026162447A1";"2025-01-30";"B23Q1/01 
B23Q11/08 
B23Q11/00";"B23Q1/015 (EP) 
B23Q11/0891 (EP) 
B23Q11/0032 (EP)";"2026-08-06";"2026-07-30";"098779715";
"2";"SCHLEUSENVORRICHTUNG FÜR WERKSTÜCKE MIT OPTISCHEN EIGENSCHAFTEN UND FERTIGUNGSMASCHINE HIERMIT";"WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SCHMIDT MARKUS [DE] 
SÖHNGEN SWEN [DE] 
SEIFRIED STEFAN [DE]";"OPTOTECH OPTIKMASCH GMBH [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SCHMIDT MARKUS [DE] 
SOEHNGEN SWEN [DE] 
SEIFRIED STEFAN [DE]";"WO2026162131A1";"2025-01-29";"B23Q11/08 
B23Q7/02 
B24B13/00 
B24B41/00";"B23Q17/20 (EP) 
B23Q7/02 (EP) 
B24B13/0031 (EP) 
B24B41/005 (EP) 
B25J9/0093 (EP) 
F16P3/08 (EP) 
B23Q11/0891 (EP) 
B28D7/00 (EP)";"2026-08-06";"2026-08-06";"094475882";
"3";"CLAMP DEVICE";"HARUNA YOSUKE [JP]";"KOSMEK LTD [JP]";"US20260225197A1";"2023-02-27";"B23Q3/06";"B23Q3/06 (US) 
B23Q3/062 (KR) 
B25B5/04 (EP,KR) 
B25B5/08 (EP) 
F16B2/16 (EP,KR) 
B23Q2703/10 (KR)";"2026-08-06";"2024-09-06";"092589791";
"4";"FAST-TOOL-ANTRIEBSEINHEIT FÜR EINE DREHMASCHINE";"SCHMIDT MARKUS [DE] 
SÖHNGEN SWEN [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SEIFRIED STEFAN [DE]";"OPTOTECH OPTIKMASCH GMBH [DE] 
SCHMIDT MARKUS [DE] 
SOEHNGEN SWEN [DE] 
WALLENDORF STEFFEN [DE] 
SCHLICHT MAXIMILIAN [DE] 
SEIFRIED STEFAN [DE]";"WO2026162128A1";"2025-01-29";"B23B27/10 
B23B29/12 
B23Q11/10";"B23B27/10 (EP) 
B23B29/125 (EP) 
B23Q11/1023 (EP) 
B23B2215/40 (EP) 
B23B2226/45 (EP) 
B23B2250/12 (EP) 
B23B2260/108 (EP) 
B23Q2230/004 (EP)";"2026-08-06";"2026-08-06";"094480964";
"5";"ROTARY TABLE DEVICE";"FUJIMOTO KAZUHISA [JP] 
RAY NATHAN [GB] 
ECKERSALL STEPHEN [GB] 
CORKER CHARLES MILLWARD [GB]";"NIKKEN KOSAKUSHO WORKS LTD [JP]";"US20260225222A1";"2025-02-04";"B25H1/02";"B23Q1/0027 (EP) 
B23Q1/0072 (EP) 
B23Q1/52 (EP) 
B23Q3/082 (EP) 
B25H1/02 (US) 
B23Q2220/004 (EP)";"2026-08-06";"2025-06-05";"095894927";
"6";"Reduction of thermal distortion in machine tools";"MARK STOCKER [GB]";"FIVES LANDIS LTD [GB]";"GB2703681A";"2025-01-16";"B23Q1/01 
B23Q15/18 
B24B41/02";"B23Q1/015 (EP) 
B23Q1/522 (EP) 
B23Q11/0003 (EP) 
B23Q11/127 (EP)";"2026-08-05";"2026-07-23";"095559406";
"7";"VORRICHTUNG MIT EINER BEWEGLICHEN KLAPPE ZUM FREIGEBEN EINER WECHSELÖFFNUNG AN EINER WERKZEUGMASCHINE UND VERFAHREN ZUM AUSWECHSELN EINES AUFSATZES";"BRAND MATTHIAS [DE] 
KÜHNELT MARKUS [DE] 
STORCH STEPHAN [DE]";"DMG MORI SEEBACH GMBH [DE]";"WO2026162414A1";"2025-01-30";"B23Q11/08 
B23Q3/157";"B23Q11/08 (EP) 
B23Q11/0891 (EP) 
B23Q3/15713 (EP) 
B23Q2003/155428 (EP)";"2026-08-06";"2026-07-30";"098772633";
"8";"MACHINE TOOL";"FONTAINE THOMAS [DE] 
BUDAI JÁNOS [HU] 
MARMOL DAMIAN [PL] 
BITTNER PASCAL [DE]";"SCHWAEBISCHE WERKZEUGMASCHINEN GMBH [DE]";"US20260225198A1";"2025-02-06";"B23Q3/155 
B23Q3/157";"B23Q3/1554 (US) 
B23Q3/15706 (EP) 
B23Q3/15724 (EP,US) 
B23Q3/1574 (EP) 
B23Q3/15753 (EP) 
B23Q2003/155414 (US) 
B23Q2003/155453 (EP) 
B23Q2003/155456 (EP) 
B23Q2003/1558 (EP)";"2026-08-06";"2026-08-06";"094598374";
"9";"CARTRIDGE, TABLE ROTATOR, AND MACHINE TOOL";"SATO KIMIHIKO [JP] 
OGAWA YUKIO [JP] 
SAKAI NOBUHIRO [JP]";"YAMAZAKI MAZAK CORP [JP]";"US20260225196A1";"2024-06-28";"B23Q1/01 
B23Q1/54";"B23Q1/01 (US) 
B23Q1/54 (US) 
B23Q1/5406 (EP) 
B23Q16/025 (EP) 
B23Q2220/004 (EP)";"2026-08-06";"2024-12-23";"093933969";
"10";"ROTIERENDES ELEMENT, INSBESONDERE WERKZEUGHALTER";"SCHUSTER ALEXANDER [DE] 
RENTZSCH HENDRIK [DE] 
WORM JOHANNES [DE] 
DRÄGER TOBIAS [DE]";"FRAUNHOFER GES FORSCHUNG [DE]";"WO2026162583A1";"2025-01-29";"B23B31/20 
B23Q17/09";"B23B31/20 (EP) 
B23B2260/128 (EP) 
B23B2270/022 (EP) 
B23B2270/14 (EP) 
B23B2270/32 (EP) 
B23Q17/0966 (EP)";"2026-08-06";"2026-07-30";"098732701";
"11";"机床";"";"";"CN224601013U";"2025-05-22";"B23C9/00 
B23Q1/01 
B23Q1/25";"B23Q1/015 (EP) 
B23Q1/017 (EP) 
B23Q1/626 (EP)";"2026-08-07";"2026-08-07";"096470398";
"12";"WERKZEUGMASCHINE";"JONES JASON [GB] 
COATES PETER [GB] 
SOLOMON PETER-JON [GB] 
ZADROGA JOSHUA [GB]";"HYBRID MANUFACTURING TECH LIMITED [GB]";"EP4786088A2";"2017-03-22";"B23K26/00";"B22F10/10 (KR) 
B22F10/22 (EP,GB,KR,US) 
B22F12/50 (EP,GB,KR,US) 
B22F12/90 (KR) 
B23K26/0093 (EP,GB,KR) 
B23K26/1482 (EP,GB,KR,US) 
B23K26/34 (US) 
B23K26/342 (EP,GB,KR) 
B23K26/702 (EP,KR) 
B23K28/02 (GB) 
B23P23/04 (GB) 
B23Q1/0009 (EP,KR) 
B23Q3/12 (GB) 
B29C64/106 (EP,KR) 
B29C64/118 (EP,KR) 
B29C64/153 (EP,KR,US) 
B29C64/188 (GB,US) 
B29C64/209 (EP,GB,KR,US) 
B29C64/321 (US) 
B33Y30/00 (GB,US) 
B33Y40/20 (US) 
B22F10/25 (EP,GB,US) 
B22F12/44 (EP,GB,US) 
B22F12/90 (EP,GB,US) 
B22F2999/00 (EP,KR) 
B23Q2220/008 (EP,KR) 
B33Y30/00 (EP) 
Y02P10/25 (EP,KR) 
B22F2999/00, B22F3/227, ADD (EP)      ";"2026-08-05";"2018-09-26";"058688416";
"13";"AUTONOME STROMERZEUGUNGSVORRICHTUNG UND ZYLINDERVORRICHTUNG DAMIT";"KOJIMA RYOTA [JP]";"KOSMEK LTD [JP]";"EP4787689A1";"2023-09-27";"B23Q3/06 
F15B15/28 
H02K35/00";"B23Q3/06 (EP,KR) 
F15B15/28 (KR) 
F15B15/2807 (EP) 
G01D5/00 (EP) 
H02K1/34 (EP) 
H02K33/16 (EP) 
H02K35/00 (EP) 
H02K35/02 (EP) 
H02K35/04 (EP,KR) 
H02K35/06 (EP) 
H02K7/1807 (EP) 
H02K7/1853 (EP) 
H02K7/1869 (EP) 
H02K7/1876 (EP) 
H02K7/1884 (EP,KR) 
H02K7/1892 (EP) 
F15B15/2861 (EP) 
H02K2213/03 (EP)";"2026-08-05";"2025-04-03";"095203682";
"14";"自动刮削加工装置、自动刮削加工方法、信息处理装置、加工指示数据的生成方法、以及加工指示数据生成程序";"";"";"CN122535474A";"2024-04-01";"B23D79/02 
B23Q15/00 
B23Q17/20";"B23D79/02 (EP) 
B23Q15/00 (EP) 
B23Q17/20 (EP)";"2026-08-07";"2025-10-09";"097266888";
"15";"卡盘";"";"";"CN122535473A";"2024-03-25";"B23B31/00 
B23B31/171 
B23Q11/08";"B23B31/00 (EP) 
B23B31/1612 (EP) 
B23Q11/08 (EP)";"2026-08-07";"2025-10-01";"097219570";
"16";"VERARBEITUNGSMASCHINE, VERARBEITUNGSSYSTEM UND VERFAHREN ZUR HERSTELLUNG EINES VERARBEITETEN OBJEKTS";"SUZUKI TORU [JP] 
AKIYAMA TAKANOBU [JP] 
FUKUTA MASAHIKO [JP]";"SHIBAURA MACHINE CO LTD [JP]";"EP4786095A1";"2023-09-29";"B23Q17/22 
B24B49/10 
G05B19/404 
G05B19/416";"B23Q17/22 (EP) 
B24B49/10 (EP) 
G05B19/404 (EP) 
G05B19/416 (EP)";"2026-08-05";"2025-02-17";"094631050";
"17";"刀具切换装置及机器人系统";"";"";"CN122535482A";"2024-01-31";"B23Q3/157 
B25J9/16";"B23Q11/0082 (EP) 
B23Q11/0092 (EP) 
B23Q11/08 (EP) 
B23Q3/15546 (EP) 
B23Q3/15722 (EP) 
B25J11/005 (EP) 
B25J15/0057 (EP) 
G05B2219/39468 (EP) 
G05B2219/50257 (EP)";"2026-08-07";"2025-08-07";"096589157";
"18";"COOLANT SYSTEM";"ISHIKAWA RYUTARO [JP]";"FANUC CORP [JP]";"US20260225201A1";"2023-02-09";"B23Q11/00 
B23Q11/10";"B23Q11/0057 (EP) 
B23Q11/0075 (US) 
B23Q11/1069 (EP,US) 
Y02P70/10 (EP)";"2026-08-06";"2024-08-15";"092262175";
"19";"用于圆柱形电池单元的顶盖焊接设备以及使用该顶盖焊接设备的用于圆柱形电池单元的顶盖焊接方法";"";"";"CN122535477A";"2024-12-05";"B23K26/142 
B23K26/21 
B23Q11/00 
H01M10/04 
H01M50/152 
H01M50/528";"B23K26/066 (EP,KR) 
B23K26/08 (EP) 
B23K26/083 (EP,KR) 
B23K26/16 (EP,KR) 
B23K26/21 (EP,KR) 
B23K37/0443 (EP) 
B23Q11/00 (EP) 
B23Q11/0046 (KR) 
H01M10/04 (EP) 
H01M10/0404 (EP,KR) 
H01M50/107 (EP) 
H01M50/152 (EP,KR) 
H01M50/528 (EP,KR) 
H01M50/536 (EP) 
B23K2101/36 (EP) 
B23K2101/38 (EP) 
Y02E60/10 (EP,KR)";"2026-08-07";"2026-06-11";"099440493";
"20";"MACHINE TOOL ASSEMBLY WITH TOOL BASE AND LATCHABLE WORKPIECE FRAME";"GARNER RUSTY [US]";"ROLLS ROYCE CORP [US]";"US20260225200A1";"2025-02-06";"B23Q1/52 
B23Q7/04";"B23Q1/52 (US) 
B23Q7/046 (US) 
B23Q7/047 (US)";"2026-08-06";"2026-08-06";"100772204";
"21";"SCHUTZABDECKUNG, VERBINDUNGSELEMENT UND MONTAGEWERKZEUG";"GÖTZMANN TIM [DE]";"MOELLERWERKE GMBH [DE]";"EP4786092A2";"2025-02-03";"B23Q11/08 
F16B5/00";"B23Q11/0825 (EP)";"2026-08-05";"2026-08-04";"098567067";
"22";"SYSTEMS AND METHODS FOR PART ALIGNMENT";"ROBERTS JONATHAN MICHAEL TODD [US]";"BLUE ORIGIN MFG LLC [US]";"US20260225199A1";"2025-02-06";"B23Q3/18";"B23Q3/186 (US)";"2026-08-06";"2026-08-06";"100772207";
"23";"SCHNEIDSYSTEM, WERKZEUGMASCHINE UND ABSCHIRMELEMENT";"ARAKI TADASHI [JP] 
KURIYAMA HIROMITSU [JP] 
TANAKA YOSHIZO [JP] 
OHMORI HIROKI [JP] 
KUWAYAMA ICHIRO [JP] 
TAKANO TOYOHISA [JP] 
YAMAGISHI SUGURU [JP]";"SUMITOMO ELECTRIC INDUSTRIES [JP]";"EP4786094A1";"2023-09-27";"B23Q11/08 
B23Q17/09";"B23Q11/08 (EP) 
B23Q17/09 (EP)";"2026-08-05";"2025-04-03";"095202425";
"24";"SCHUTZVORRICHTUNG UND BEARBEITUNGSMASCHINE";"BENEDETTI MICHELE [IT] 
MARDEGAN VITTORIO [IT]";"P E I PROTEZIONI ELABORAZIONI IND S R L [IT]";"EP4786093A1";"2025-02-03";"B23Q11/08 
F16P1/02";"B23Q11/0825 (EP) 
F16P1/02 (EP) 
F16P3/02 (EP)";"2026-08-05";"2026-08-05";"095290106";
"25";"STABILITÄT DER BEARBEITUNG VON DÜNNWANDIGEN TEILEN";"WANG ZHIGANG [US] 
GUO CHANGSHENG [US] 
HOMMA KENJI [US] 
KOUNTANYA RATA K [US] 
RANGANATH SANTOSH K [US] 
FROMERTH ERIC [US] 
SCHMITZ TONY L [US]";"RTX CORP [US]";"EP4787093A1";"2025-01-29";"B23Q17/09 
G05B19/404 
G05B19/4069 
G05B19/4097 
G05B19/4099";"B23Q17/0976 (EP) 
G05B19/188 (US) 
G05B19/404 (EP) 
G05B19/4069 (EP,US) 
G05B19/4097 (EP) 
G05B19/4099 (EP) 
G06F30/20 (US) 
B23P15/02 (US) 
G05B2219/36252 (EP) 
G05B2219/37355 (EP) 
G05B2219/41256 (EP) 
G05B2219/45147 (EP) 
G06F2119/18 (US)";"2026-08-05";"2026-07-30";"097753048";
"26";"MODULARE BE- UND ENTLADEZELLE";"FONTAINE THOMAS [DE] 
WOLF ROMAN [DE] 
WILHELM ANDREAS [DE] 
DE VRIES FRANCISCUS PETRUS [DE] 
ROCKER HARMUT [DE]";"SCHWAEBISCHE WERKZEUGMASCHINEN GMBH [DE]";"EP4786112A1";"2025-01-29";"B23Q11/08 
B23Q7/04 
B23Q7/14 
B25J21/00 
B25J9/08";"B23Q11/0891 (EP) 
B23Q7/04 (EP) 
B23Q7/1431 (EP) 
B25J21/00 (EP) 
B25J9/08 (EP)";"2026-08-05";"2026-07-31";"094432514";
"27";"ARTICLE TRANSPORT SYSTEM AND ARTICLE TRANSPORT METHOD";"KITAZAWA MASAYA [JP]";"AMADA CO LTD [JP]";"US20260227774A1";"2023-01-31";"B23Q7/14 
G05B19/418";"B23Q41/02 (EP) 
B23Q7/1431 (EP,US) 
B23Q7/1442 (EP,US) 
G05B19/41895 (EP,US) 
G05B2219/31002 (EP,US) 
G05B2219/31086 (EP,US) 
G05B2219/50364 (EP,US) 
G05B2219/50369 (EP) 
G05B2219/50393 (EP,US) 
G05B2219/50395 (EP)";"2026-08-06";"2024-06-13";"091377599";
"28";"VERFAHREN UND VORRICHTUNGEN ZUR KALIBRIERUNG VON FRÄS- UND/ODER DREHMASCHINEN";"FREITAG STEFFEN [DE] 
SÖHNGEN SWEN [DE] 
ENGELMANN OLGA [CH] 
WALLENDORF STEFFEN [DE] 
SEIFRIED STEFAN [DE]";"OPTOTECH OPTIKMASCH GMBH [DE] 
FREITAG STEFFEN [DE] 
SOEHNGEN SWEN [DE] 
ENGELMANN OLGA [CH] 
WALLENDORF STEFFEN [DE] 
SEIFRIED STEFAN [DE] 
OPTOTECH AG [CH]";"WO2026162132A1";"2025-01-29";"B23Q17/00 
G01B11/14 
G06T7/00";"B23Q17/2266 (EP) 
B23Q17/2471 (EP) 
B23Q17/249 (EP) 
G01B11/14 (EP)";"2026-08-06";"2026-08-06";"094478526";
"29";"一种轴承加工翻转装置";"";"";"CN224601131U";"2025-07-30";"B23Q7/00 
B25H1/10";"";"2026-08-07";"2026-08-07";"100742249";
"30";"一种机械加工用吸尘装置";"";"";"CN224601146U";"2024-12-05";"B23D19/00 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100749331";
"31";"一种元件固定驱动设备及加工系统";"";"";"CN224601466U";"2025-08-29";"B23Q3/06 
B25B11/00";"";"2026-08-07";"2026-08-07";"100740900";
"32";"一种基于球阀加工的开槽装置";"";"";"CN224600662U";"2024-09-18";"B23D79/00 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100746679";
"33";"一种自清洁排屑过滤装置";"";"";"CN224598834U";"2025-09-10";"B01D29/03 
B01D29/64 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100742156";
"34";"一种飞轮自动钻孔装置";"";"";"CN122517678A";"2026-07-04";"B23B41/00 
B23B47/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100760932";
"35";"一种可调节夹座的数控车床机";"";"";"CN224601113U";"2025-08-25";"B23B25/00 
B23Q11/00 
B23Q3/12";"";"2026-08-07";"2026-08-07";"100742649";
"36";"一种用于铸件斜面加工的切削设备";"";"";"CN224601165U";"2025-07-17";"B23Q11/08";"";"2026-08-07";"2026-08-07";"100748613";
"37";"钛合金与复合材料叠层材料制孔过程的进给控制方法";"";"";"CN122518131A";"2026-05-19";"B23Q15/013 
G05B19/416";"";"2026-08-07";"2026-08-07";"100769139";
"38";"切削工具和相关方法";"";"";"CN122517709A";"2025-02-07";"B23D77/00 
B23D79/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100766552";
"39";"一种加工中心用刀具冷却清洗装置";"";"";"CN122518127A";"2026-06-15";"B23Q11/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100758570";
"40";"一种铝合金板材切割装置";"";"";"CN122518122A";"2026-06-30";"B23D19/00 
B23D33/00 
B23D33/02 
B23Q11/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100765985";
"41";"一种铝材裁切装置";"";"";"CN224600648U";"2025-08-01";"B23D45/06 
B23Q15/26 
B23Q3/08 
B23Q5/00";"";"2026-08-07";"2026-08-07";"100738191";
"42";"一种五轴加工除屑机构";"";"";"CN224601150U";"2025-08-06";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100745615";
"43";"一种机械加工的夹持装置";"";"";"CN224601039U";"2025-07-11";"B23Q3/00";"";"2026-08-07";"2026-08-07";"100738498";
"44";"一种数控龙门加工中心用工件传动机构";"";"";"CN224601020U";"2025-07-16";"B23Q1/25 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100746121";
"45";"一种圆盘形工件端面铣削夹具";"";"";"CN224601068U";"2025-08-08";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100741742";
"46";"一种用于球墨铸铁管管端的坡口机";"";"";"CN224600676U";"2026-07-01";"B23D79/00 
B23Q1/25 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100735438";
"47";"一种具有固定结构的钢结构用打孔设备";"";"";"CN224600590U";"2025-09-01";"B23B41/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100747689";
"48";"一种门窗加工用切割装置";"";"";"CN224601148U";"2025-07-22";"B23D79/00 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100742802";
"49";"一种回转工作台可调固定装置";"";"";"CN224601107U";"2025-09-05";"B23Q1/25 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100740006";
"50";"双轴直驱摇篮式数控转台组件";"";"";"CN224601026U";"2025-09-09";"B23Q1/48 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100739965";
"51";"一种工业泵零部件用钻孔加工装置";"";"";"CN122518133A";"2026-06-26";"B23B41/00 
B23Q1/25 
B23Q16/10 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100758863";
"52";"一种切割机支撑梁";"";"";"CN224601018U";"2025-09-18";"B23Q1/01";"";"2026-08-07";"2026-08-07";"100736058";
"53";"一种方管夹持装置";"";"";"CN224601103U";"2025-08-20";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100736956";
"54";"一种大型立式机床回转台校准方法";"";"";"CN122526096A";"2026-05-19";"B23Q1/26 
G05B19/402";"";"2026-08-07";"2026-08-07";"100765344";
"55";"行星架总成加工方法、行星架总成及行星减速器";"";"";"CN122518085A";"2025-11-12";"B23Q3/06 
F16H1/28 
F16H57/08";"";"2026-08-07";"2026-08-07";"100753559";
"56";"一种金属板材加工设备清洁装置";"";"";"CN224601143U";"2024-10-17";"B23Q11/00";"";"2026-08-07";"2026-08-07";"100744983";
"57";"一种刀具在位检测装置及方法";"";"";"CN122518137A";"2026-06-30";"B23Q17/09";"";"2026-08-07";"2026-08-07";"100760887";
"58";"一种加工中心接触式机械换刀结构";"";"";"CN224601121U";"2025-09-11";"B23Q3/155";"";"2026-08-07";"2026-08-07";"100735641";
"59";"一种具有良好排屑的微型数控车床";"";"";"CN224601158U";"2025-09-10";"B23Q11/00 
B23Q11/08 
B23Q11/12 
B23Q5/00";"";"2026-08-07";"2026-08-07";"100744503";
"60";"一种机床加工用限位装置";"";"";"CN224601050U";"2024-11-21";"B23Q3/02";"";"2026-08-07";"2026-08-07";"100740641";
"61";"一种圆形砚台加工数控车床";"";"";"CN224600554U";"2025-08-19";"B23B21/00 
B23B5/00 
B23Q11/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100748586";
"62";"一种带有减震功能的交叉导轨固定装置";"";"";"CN224601072U";"2025-08-19";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100742419";
"63";"有旋转夹持机构的内螺纹磨削设备";"";"";"CN122517723A";"2026-06-25";"B23G1/36 
B23G1/44 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100758898";
"64";"一种铜杆生产用定长切断机";"";"";"CN224600669U";"2025-08-28";"B23D79/00 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100748618";
"65";"一种可调式模具制造用定位装置";"";"";"CN224601128U";"2024-09-06";"B23Q3/06 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100747040";
"66";"DUST COLLECTOR FOR SURFACE DRILLING OPERATIONS";"BARBARÁ DA SILVA FABIANO [BR]";"BARBARA DA SILVA FABIANO [BR]";"WO2026161943A1";"2025-01-28";"B08B15/04 
B23B45/02 
B23B47/00 
B23B47/34 
B23Q11/00 
B25F5/00 
B65F1/00 
B65F1/12";"";"2026-08-06";"2026-08-06";"100771128";
"67";"一种钢管管材旋转型加工夹具";"";"";"CN224601054U";"2024-08-27";"B23Q3/06 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100742454";
"68";"一种模具制造用多功能加工平台";"";"";"CN224601062U";"2025-07-18";"B23Q11/08 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100742229";
"69";"一种压机壳体的铣削加工自动进料装置";"";"";"CN224601133U";"2025-08-26";"B23Q7/00";"";"2026-08-07";"2026-08-07";"100742256";
"70";"CONTROL DEVICE AND CONTROL METHOD";"FUKUI JUNYA [JP] 
YOSHIKAWA NOBUYUKI [JP] 
NAMMOTO TAKASHI [JP] 
SATO GO [JP]";"MITSUBISHI ELECTRIC CORP [JP]";"WO2026163301A1";"2025-01-29";"B23Q15/00 
G05B19/18 
G05D3/12";"";"2026-08-06";"2025-08-18";"096771569";
"71";"一种金属板材切割设备";"";"";"CN224600664U";"2025-05-20";"B23D79/00 
B23Q11/10 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100742043";
"72";"一种数控车床的自动对刀装置";"";"";"CN224600565U";"2025-09-08";"B23B25/06 
B23Q15/22";"";"2026-08-07";"2026-08-07";"100740861";
"73";"一种用于铁盖内孔倒角的连续成型拉床";"";"";"CN224601180U";"2025-09-13";"B23D41/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100739183";
"74";"一种自动攻丝机";"";"";"CN224600687U";"2025-08-27";"B23G1/20 
B23G1/44 
B23G11/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100736661";
"75";"机床折叠自动门";"";"";"CN224601169U";"2025-08-28";"B23Q11/08";"";"2026-08-07";"2026-08-07";"100735884";
"76";"一种铝板高精度打孔设备";"";"";"CN224600579U";"2025-09-05";"B23B39/12 
B23B39/16 
B23Q1/25";"";"2026-08-07";"2026-08-07";"100749013";
"77";"一种高效高精度的易开盖舌片刻字刀模加工装置";"";"";"CN224600671U";"2025-09-05";"B23D79/00 
B23Q11/00 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100736770";
"78";"一种钢板网拆切装置";"";"";"CN224601005U";"2024-08-29";"B23P23/04 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100743193";
"79";"一种加工汽车中控背板的CNC工装夹具";"";"";"CN224601110U";"2025-09-11";"B23Q3/08";"";"2026-08-07";"2026-08-07";"100746511";
"80";"一种仿形齿轮钳口夹具";"";"";"CN224601057U";"2025-02-21";"B23Q3/06";"";"2026-08-07";"2026-08-07";"100746296";
"81";"一种高耐候性铝蜂窝板材加工设备";"";"";"CN122517711A";"2026-06-20";"B23D79/00 
B23Q3/00";"";"2026-08-07";"2026-08-07";"100754808";
"82";"一种金属带刻痕装置";"";"";"CN224600665U";"2025-06-18";"B23D79/00 
B23Q7/00";"";"2026-08-07";"2026-08-07";"100745249";
"83";"一种泵壳加工组装适配调节装置";"";"";"CN122518259A";"2026-06-23";"B23Q3/06 
B25B11/00 
B25B11/02";"";"2026-08-07";"2026-08-07";"100761982";
"84";"一种盾构管片预制件内埋钢筋氧化层去除机构";"";"";"CN122517708A";"2026-07-01";"B23D69/00 
B23Q11/00 
B23Q11/10 
B23Q7/00 
C23G1/08 
C23G3/00";"";"2026-08-07";"2026-08-07";"100760911";
"85";"一种低导向机床门";"";"";"CN224601170U";"2025-08-28";"B23Q11/08";"";"2026-08-07";"2026-08-07";"100741904";
"86";"POSITIONING FIXTURE FOR INTELLIGENT MANUFACTURING";"YI JIAN [CN]";"LUZHOU VOCATIONAL AND TECHNICAL COLLEGE [CN]";"LU605044B1";"2026-02-05";"B23Q1/00 
B25B1/00 
F16M1/00";"";"2026-08-05";"2026-08-05";"100780870";
"87";"一种方便夹紧型齿轮加工用粗车装置";"";"";"CN224600682U";"2025-08-15";"B23F23/00 
B23Q11/10";"";"2026-08-07";"2026-08-07";"100742402";
"88";"镗床导轨防护罩的安装结构";"";"";"CN224601016U";"2025-08-15";"B23Q1/01 
B23Q11/08";"";"2026-08-07";"2026-08-07";"100735681";
"89";"机床主轴的冷却装置";"";"";"CN224601181U";"2025-07-02";"B23B19/02 
B23Q11/12";"";"2026-08-07";"2026-08-07";"100736936";
"90";"一种汽车车窗升降导轨加工工装";"";"";"CN224601108U";"2025-09-08";"B23P23/04 
B23Q3/08";"";"2026-08-07";"2026-08-07";"100744962";
"91";"一种数控机床用的快速进给机构";"";"";"CN224601126U";"2025-07-01";"B23Q11/08 
B23Q5/00";"";"2026-08-07";"2026-08-07";"100746257";
"92";"一种轴端找正用多驱动同步进给装夹机床及其控制方法";"";"";"CN122518089A";"2026-06-26";"B23Q1/01 
B23Q3/06";"";"2026-08-07";"2026-08-07";"100758881";
"93";"刀具寿命管理方法、系统、装置、设备、介质和程序产品";"";"";"CN122518136A";"2026-04-08";"B23Q17/09 
G05B19/4065";"";"2026-08-07";"2026-08-07";"100755696";
"94";"一种卧式双主轴对钻机床及加工工艺";"";"";"CN122517677A";"2026-07-10";"B23B39/22 
B23B47/18 
B23Q3/06 
B23Q5/40";"";"2026-08-07";"2026-08-07";"100766333";
"95";"一种卧式数控滚齿机的减震缓冲装置";"";"";"CN224600681U";"2025-08-14";"B23F23/00 
B23Q11/00";"";"2026-08-07";"2026-08-07";"100748667";
"96";"一种铣床设备运动安装导轨";"";"";"CN224601014U";"2025-07-07";"B23Q1/01 
B23Q17/00";"";"2026-08-07";"2026-08-07";"100746405";
